place_key,review_count,avg_rating,english_text_review_count,foreign_text_review_count
006603,2,5.0,0,0
006667,12,4.833,6,8
006924,5,4.0,0,1
006957,6,4.167,0,1
006995,9,4.111,1,1
007254,9,4.222,1,5
007907,7,3.571,0,0
008005,11,4.545,4,6
008010,8,5.0,4,8
008020,6,4.5,0,0
008235,9,4.222,1,5
008256,3,5.0,0,2
008385,10,4.4,2,3
008444,9,4.556,1,8
008581,3,4.333,0,1
008609,10,5.0,8,9
008616,1,4.0,1,1
008653,6,4.333,1,2
008705,13,4.692,6,9
008744,9,4.778,2,3
008783,13,4.769,0,2
008836,9,4.556,1,8
008849,5,4.6,3,5
008897,8,4.375,1,1
009015,8,4.75,1,2
009044,10,4.4,5,7
009081,11,3.364,5,7
009221,18,4.5,3,12
009288,9,4.778,2,3
009328,2,5.0,2,2
009411,1,5.0,0,0
009505,14,3.929,2,9
009576,13,2.692,1,4
009606,11,4.545,4,6
009626,8,4.625,2,4
009641,7,3.286,3,7
009667,10,3.7,6,9
009721,13,4.769,4,7
009730,8,3.625,4,7
009746,16,3.625,8,11
009751,18,1.389,9,18
009756,13,4.846,4,5
009885,6,4.5,0,2
009991,16,3.875,4,5
010467,19,5.0,2,2
010521,13,4.385,3,12
010883,10,5.0,0,0
011010,12,4.833,3,4
011169,15,4.4,7,15
011180,9,3.889,1,2
011250,14,4.714,8,14
011314,13,4.308,9,12
011359,1,5.0,0,1
011369,14,4.643,3,3
011395,9,4.889,3,5
011438,16,3.688,7,14
011469,9,4.556,1,8
011781,15,4.8,11,13
011835,2,4.5,0,0
011840,18,5.0,13,17
011863,7,4.143,4,5
011869,6,4.833,0,0
011882,8,5.0,5,8
011893,7,3.714,5,7
011961,11,3.273,7,7
012015,7,4.714,3,6
012323,20,4.95,12,19
012592,6,5.0,5,6
012709,6,4.667,0,1
013812,9,4.111,3,3
014513,9,4.556,0,1
015060,12,4.667,4,5
015338,10,4.8,7,8
015402,15,4.6,4,5
015408,17,4.941,11,17
015765,4,5.0,1,1
015847,10,5.0,0,0
015857,8,4.625,1,3
015859,8,4.75,5,6
015863,9,4.667,5,8
016319,9,4.667,5,6
016320,11,5.0,10,10
016321,8,4.375,2,7
016324,7,4.857,2,5
016326,8,4.75,3,5
016327,11,4.636,3,5
016352,5,4.6,0,3
016792,4,4.75,1,2
017598,9,4.444,5,6
018891,5,5.0,1,2
018892,1,4.0,0,1
018898,12,4.083,3,4
018902,14,4.786,7,11
018912,10,4.3,2,6
018916,13,4.923,7,11
018992,8,4.625,2,3
019558,13,4.846,5,6
019924,14,4.929,8,14
01flpb,9,4.111,5,7
020034,1,5.0,1,1
020048,1,5.0,1,1
020068,10,5.0,0,10
020070,14,4.714,10,13
020328,11,4.182,3,5
020547,8,4.375,3,5
020549,11,4.182,1,2
020732,1,1.0,1,1
021128,13,4.923,4,8
021278,9,4.778,2,6
021288,19,4.947,2,2
022888,11,4.818,5,10
022993,11,4.364,7,11
023561,9,4.667,3,3
023563,8,4.125,3,3
023564,1,4.0,0,0
023571,13,4.615,2,4
023602,13,4.231,0,0
023605,13,4.154,3,9
023606,12,4.167,3,4
023758,1,5.0,0,0
023759,9,4.333,2,2
023760,13,4.538,2,3
024420,15,4.733,10,15
024463,9,4.444,6,6
024498,10,4.7,3,4
024561,13,4.385,3,9
024591,15,4.733,7,10
024663,7,4.571,3,4
024679,9,4.778,4,8
024703,12,3.833,8,8
024705,10,4.6,7,10
024710,7,4.714,2,3
024755,19,5.0,3,4
024807,9,4.0,3,6
025016,10,4.7,2,7
025768,11,4.636,3,7
025927,9,5.0,7,9
025928,5,5.0,1,4
025929,12,5.0,9,11
026675,13,4.769,6,6
026676,10,4.0,2,3
026955,12,3.917,0,0
026964,12,4.333,2,10
026965,9,4.222,1,1
027105,14,4.643,1,1
027112,2,5.0,0,1
027189,7,4.857,2,6
027190,2,5.0,1,2
027215,10,4.8,4,10
027218,5,5.0,4,5
027219,6,4.667,0,4
027225,8,4.375,3,4
027296,15,4.4,1,1
027304,16,4.938,9,14
027397,14,4.571,2,2
027649,3,4.333,1,1
027689,9,4.667,0,0
027690,6,5.0,2,5
027812,1,5.0,1,1
027813,8,4.75,4,7
027997,9,4.556,9,9
028035,13,3.846,3,3
028036,12,4.417,3,4
028051,14,4.214,10,12
028057,1,5.0,0,0
028251,12,3.917,4,6
028255,6,4.667,0,0
028278,11,4.364,3,7
028328,2,5.0,0,0
028334,9,4.778,3,4
028339,11,4.636,2,5
028457,5,4.4,2,4
028776,11,4.727,6,8
029048,11,4.909,9,10
029052,10,3.4,4,7
029381,14,4.0,5,8
029394,10,4.6,0,1
029459,10,4.9,4,4
029502,12,4.0,2,4
029546,11,3.818,4,8
029550,15,3.733,5,13
029568,12,4.5,0,0
029716,8,4.5,5,7
029722,5,4.4,1,3
029766,11,4.727,3,5
029767,10,4.9,4,4
029796,6,4.5,0,0
029797,8,4.75,1,1
029798,5,4.8,2,2
029800,9,4.667,2,5
029802,8,3.875,1,1
029945,7,3.714,1,2
030803,9,4.556,3,5
031922,9,3.778,2,5
032125,14,4.214,1,3
032529,8,4.125,0,0
032734,9,4.444,6,6
032764,6,4.667,3,5
032823,5,3.8,0,1
033276,3,4.0,0,0
033829,9,3.889,1,4
034360,13,4.0,11,13
034361,4,5.0,3,4
034412,17,3.294,11,13
034459,18,4.5,10,16
034489,4,1.5,3,3
034860,9,4.889,1,2
035015,11,4.091,3,9
035307,13,4.231,1,1
035405,13,4.077,5,8
035408,10,4.6,1,4
035570,13,4.692,0,0
035673,11,4.818,8,10
036751,14,4.643,1,1
036754,4,4.5,1,1
036843,10,4.7,1,2
036877,14,4.571,0,1
036947,11,4.727,3,6
036973,5,4.6,1,5
037044,19,4.895,3,4
037130,10,4.4,1,1
037164,5,4.8,2,2
037170,5,4.8,2,2
037176,9,3.667,1,4
037364,9,4.889,2,3
037367,9,3.889,2,4
037529,9,4.556,2,2
037532,8,4.875,0,0
037815,11,4.636,0,1
037934,10,4.4,5,9
037950,7,4.857,1,6
037952,16,4.625,1,1
038021,7,4.571,4,4
038195,13,4.231,4,7
038399,20,4.9,10,16
038400,14,4.929,6,13
038445,20,5.0,12,14
038487,3,4.667,1,2
038489,8,4.375,2,4
038785,9,5.0,3,3
038786,9,5.0,3,3
038858,8,4.375,1,1
039305,13,4.538,3,6
039306,5,5.0,4,4
039629,7,3.286,0,3
039725,8,4.75,1,1
040172,10,4.9,5,5
040219,10,4.6,1,4
040673,8,4.375,1,1
040770,14,4.571,2,4
040795,16,4.688,3,3
041854,15,4.2,2,10
041868,7,3.0,5,6
041870,10,4.1,6,9
041871,1,3.0,0,0
041903,7,4.714,1,1
041925,14,4.214,0,0
041963,8,4.5,0,2
041995,14,4.357,9,10
042009,10,4.3,6,9
042078,5,3.8,2,4
042170,11,4.727,6,8
042252,7,4.571,3,3
042288,16,4.375,1,3
042352,12,3.417,1,3
0cezb3,1,5.0,1,1
0chi2z,17,4.765,10,17
0gxkdq,18,4.667,12,14
0jakmu,8,4.0,1,1
0kjpgo,15,4.733,2,10
0l726f,10,4.2,1,1
0nu1y0,5,4.0,1,2
0pzgtj,9,4.889,2,2
0rc3u4,17,5.0,12,15
0wav1s,8,4.75,3,5
1fhege,6,3.667,2,6
1ny5i7,18,4.889,6,9
1p6g0h,18,5.0,7,10
1udvdv,15,4.8,8,10
1upa1m,8,4.75,4,4
1yzr0u,7,4.286,0,0
21zkoz,10,4.7,1,3
2dr3he,16,4.875,1,6
2hftey,9,4.778,4,7
2i6uh8,14,5.0,5,11
2s8isl,12,4.583,2,3
2xzi3t,11,4.455,4,7
3crf5v,20,5.0,9,17
3o0027,15,3.0,6,8
3rjtd6,8,4.625,4,6
3wv0j4,10,4.5,2,2
42q156,11,3.727,3,7
43to2h,13,4.385,8,9
44b0tv,9,4.333,3,6
4ahe2c,11,4.0,1,3
4g7mm3,1,5.0,0,0
4sh9je,15,4.467,6,13
52w7m1,3,4.667,1,1
54zrmq,10,4.4,5,9
58m9lc,3,4.0,0,0
5dtalk,1,5.0,0,0
5gy81t,19,4.842,1,19
5hau1h,5,4.4,2,2
5nlj26,9,4.889,2,4
5uw5dz,20,4.8,0,0
5y94vy,6,5.0,4,4
60cztf,19,4.895,11,19
61vxfa,11,4.636,3,3
6lxyy0,10,4.7,4,6
6nkrnk,10,4.9,7,7
6ptemj,12,4.333,6,7
6ubtgx,20,5.0,13,16
6x3iur,15,4.2,6,11
72zzo1,8,4.75,2,2
75ls3r,12,5.0,6,12
77xns8,16,4.812,7,15
7c8tmq,1,5.0,0,0
7mwbxy,14,4.786,5,7
8692xd,3,4.667,1,1
86di0a,16,4.188,10,16
8bplee,8,5.0,3,7
8j6kof,15,4.867,8,13
8jtjh5,17,5.0,7,8
8kwn54,9,3.889,6,6
8qrjci,9,5.0,7,8
8r0zj2,9,5.0,0,0
9fwlch,15,4.067,4,7
9jn7zj,6,4.667,1,3
9kal14,13,5.0,2,4
9l9dhu,3,5.0,0,0
9qf7aa,9,5.0,4,7
9ynvir,17,5.0,14,16
a0muuu,5,4.8,3,3
a4m2cj,20,4.8,0,0
aacet0,5,4.8,4,4
ab5p53,18,4.722,12,17
aijkqu,10,5.0,5,10
av9wgq,17,4.941,3,3
azp76o,6,5.0,3,4
b4qyjm,15,4.0,0,0
bdyynw,9,4.889,3,5
bj4if3,2,2.5,0,1
bnvhzx,7,3.714,6,7
bo1j5m,1,5.0,0,1
bxv0dg,10,4.5,7,8
c4t2zl,7,4.571,1,1
cblu8e,9,5.0,4,6
ccgonx,20,5.0,17,20
ctphmy,9,4.333,1,2
cx585q,20,5.0,19,19
cyd45f,5,3.8,0,0
cztazx,6,5.0,1,1
da1e2c,7,3.571,1,3
dyjr97,10,4.2,5,9
e4d3g1,8,4.25,2,4
e60s5s,8,2.375,5,8
erc3q8,2,5.0,2,2
exzzw3,13,4.0,1,2
f78gji,19,4.474,3,4
fg2lhj,10,5.0,10,10
fgv1jj,14,4.786,5,9
fj804w,2,5.0,0,0
fk9nxi,13,4.462,4,8
fko0nq,4,4.75,3,3
fuliol,12,4.0,3,8
fynf9l,14,4.143,2,2
g992ys,8,4.5,2,5
g9q2f1,19,5.0,4,5
gloa3i,10,4.2,2,6
grw5c5,4,5.0,1,1
gu3ezw,12,4.083,0,0
guxwe8,7,4.714,4,4
h102m6,13,4.385,8,9
h55o29,13,4.538,7,8
hd2f4q,6,5.0,1,1
hd6ywx,10,5.0,8,10
hujesr,11,4.273,3,5
hyd9ee,10,4.1,2,10
i1u9ze,8,5.0,2,2
i3s4ab,19,5.0,10,19
i88tyg,12,3.25,3,3
i8afi4,13,4.462,9,12
i8pv19,6,4.5,0,0
ic1sqq,14,4.643,12,13
il6eky,10,5.0,9,10
ipn2pj,8,3.75,4,4
itng4e,7,4.286,1,4
jkm9y3,7,4.857,0,0
jlcb9a,5,4.8,0,0
juf6ry,18,3.833,7,13
jx2a9d,9,5.0,4,4
jxg13l,9,4.222,1,2
jxvczp,9,4.0,0,1
jy51fz,11,4.273,0,3
k0r1d9,17,3.706,11,15
k1cyet,13,4.538,1,1
kq5ji1,1,5.0,0,1
kv7z3y,15,3.867,12,12
kxi16h,6,5.0,3,5
kxys7x,9,4.778,1,3
l4du7k,8,4.875,3,5
l4rnb2,6,4.5,0,1
l8f5md,5,5.0,2,5
ldz98j,6,4.833,3,6
lh08xy,13,4.846,1,1
lm37m4,7,4.286,1,3
m7kjm3,10,5.0,8,9
m8j6gm,11,4.545,1,3
mluo32,4,4.5,1,1
ncj7nn,7,4.714,1,3
nh3bjr,7,5.0,3,4
nhju8i,11,4.818,8,10
nj8f9x,12,4.75,6,10
nje8ve,15,3.467,6,6
nw1hit,6,3.5,1,2
nx3r6c,8,5.0,4,5
ny8ty6,6,4.833,0,0
oigt91,15,3.4,10,15
ojrz90,15,4.6,3,3
oqlgy2,9,4.778,1,2
oty0zx,9,5.0,2,4
ou8ab9,10,4.1,2,10
ozt8oi,6,5.0,4,5
p5guss,17,4.471,11,14
p8olr5,14,4.5,3,4
pic8xu,8,3.625,1,1
pr4e29,5,4.8,2,2
pz1oh8,17,4.471,14,16
qb6ctu,1,5.0,1,1
qyg4ls,9,4.889,3,4
qyzmh2,9,5.0,7,9
rf5phm,16,4.375,6,11
risi5i,5,4.6,0,0
rrfib6,8,4.25,5,5
rvylta,11,5.0,8,8
rzx6dz,4,4.75,3,4
sbsko1,10,5.0,8,9
sgywus,1,5.0,1,1
sy91f2,4,5.0,1,1
tr2tsi,1,4.0,0,0
tvunyc,12,4.25,2,5
ue1dn6,8,3.75,6,8
up1c05,14,4.643,2,3
uw4dco,7,4.0,2,3
v184vp,1,5.0,0,0
v4bofj,4,4.0,1,2
veuat2,7,4.429,2,6
vsi1e5,18,4.5,3,12
w44mzp,3,5.0,0,0
w9eym0,11,4.818,1,1
wdn7lf,2,5.0,1,2
wi2gw4,10,5.0,0,0
wlwiuo,11,5.0,5,5
wly2p0,14,4.857,1,2
wnlgos,5,4.0,0,0
wygusk,19,4.842,16,18
x0x7wx,5,4.8,2,2
x138ls,13,4.231,8,11
x2foc9,17,4.235,6,14
x6ew5x,13,4.846,0,0
xa3w2o,9,4.444,0,0
xbgr44,4,5.0,2,3
xj9byw,10,4.8,1,3
xjlehm,7,4.286,1,3
xq6vzf,11,4.818,2,3
xua216,3,4.667,0,0
y0z89u,9,5.0,2,8
y3knml,9,5.0,0,0
ygkpyt,4,4.75,1,4
yia5so,15,4.533,7,10
ym8jdx,3,4.667,2,2
z0djo8,8,4.25,6,8
z1lgm9,6,4.667,2,2
zncurn,10,4.9,7,7
